id,song_name,popularity,song_duration_ms,explicit,id_artists,release_date,song_danceability,song_energy,song_key,song_loudness,song_mode,song_speechiness,song_acousticness,song_instrumentalness,song_liveness,song_valence,song_tempo,song_time_signature,artistes_followers,artistes_genres,artiste_name,artiste_popularity,genre_name,genre_mode,genre_acousticness,genre_danceability,genre_duration_ms,genre_energy,genre_instrumentalness,genre_liveness,genre_loudness,genre_speechiness,genre_tempo,genre_valence,genre_popularity,genre_key
1DFD5Fotzgn6yYXkYsKiGs,Piece Of Your Heart,82,152913,0,"['0xRXCcSX89eobfrshSVdyu', '2nm38smINjms1LtczR0Cei']",2019-02-01,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,4,406658.0,"['dance pop', 'edm', 'pop dance', 'pop house', 'tropical house']",MEDUZA,83,edm,1,0.106526864664142,0.621411099394387,238426.624313663,0.761778313936153,0.154063079192754,0.208694745109686,-5.65388785848828,0.086355307926193,126.244780386431,0.395328203396626,54.733592392671,11
6ft4hAq6yde8jPZY2i5zLr,Paradise (feat. Dermot Kennedy),92,167903,0,"['0xRXCcSX89eobfrshSVdyu', '5KNNVgR6LBIABRIomyCwKJ']",2020-10-30,0.632,0.595,8,-7.644,0,0.0401,0.0689,0.0,0.209,0.435,124.114,4,406658.0,"['dance pop', 'edm', 'pop dance', 'pop house', 'tropical house']",MEDUZA,83,edm,1,0.106526864664142,0.621411099394387,238426.624313663,0.761778313936153,0.154063079192754,0.208694745109686,-5.65388785848828,0.086355307926193,126.244780386431,0.395328203396626,54.733592392671,11
6iW38RGqdDGOofmz2HeXLW,Piece Of Your Heart - Alok Remix,78,166452,0,"['0xRXCcSX89eobfrshSVdyu', '0NGAZxHanS9e0iNHpR8f2W', '2nm38smINjms1LtczR0Cei']",2019-06-07,0.797,0.86,10,-4.38,0,0.0413,0.0312,0.0137,0.334,0.192,124.033,4,406658.0,"['dance pop', 'edm', 'pop dance', 'pop house', 'tropical house']",MEDUZA,83,edm,1,0.106526864664142,0.621411099394387,238426.624313663,0.761778313936153,0.154063079192754,0.208694745109686,-5.65388785848828,0.086355307926193,126.244780386431,0.395328203396626,54.733592392671,11
7CHi4DtfK4heMlQaudCuHK,Lose Control,85,168387,0,"['0xRXCcSX89eobfrshSVdyu', '4EPJlUEBy49EX1wuFOvtjK', '2nm38smINjms1LtczR0Cei']",2019-10-11,0.598,0.526,10,-8.659,0,0.0415,0.129,0.0,0.14,0.529,123.935,4,406658.0,"['dance pop', 'edm', 'pop dance', 'pop house', 'tropical house']",MEDUZA,83,edm,1,0.106526864664142,0.621411099394387,238426.624313663,0.761778313936153,0.154063079192754,0.208694745109686,-5.65388785848828,0.086355307926193,126.244780386431,0.395328203396626,54.733592392671,11
2ufLEVbzvEcJ3subW8jBUp,Lut Gaye,80,228031,0,"['1tqysapcCh1lWEAc9dIFpa', '4f7KfxeHq9BiylGmyXepGt', '5HcunTidTUrOaf8V0iJcvl', '44oMI9xI4kcCub3qbpYPdb']",2021-02-17,0.638,0.785,10,-2.612,1,0.044,0.185,0.0,0.245,0.515,91.101,4,566547.0,"['desi pop', 'filmi', 'modern bollywood']",Tanishk Bagchi,78,filmi,1,0.622006689870081,0.572274688008191,270230.158317002,0.480945392753978,0.155337537465467,0.186236630478887,-10.5070670164103,0.080589275250315,108.540901553998,0.632887122628608,27.9172174014958,7
4nbWX2HzrOEnX4xxvYRCyU,Cabrón y Vago - En Vivo,81,142065,0,"['0my6Pg4I28dVcZLSpAkqhv', '25UNJbwGZSQKvz5cPLWlv3']",2020-07-31,0.547,0.638,8,-2.99,1,0.124,0.697,0.0,0.074,0.876,176.277,3,740933.0,"['corrido', 'norteno', 'nuevo regional mexicano', 'regional mexican']",Los Dos Carnales,80,corrido,1,0.39155987536168,0.701318693799086,201449.324246986,0.634105510416185,0.0150560935424239,0.1501325843059,-6.37620582967425,0.0658776080240443,124.706442339256,0.819238872566536,53.7577611661249,7
4nbWX2HzrOEnX4xxvYRCyU,Cabrón y Vago - En Vivo,81,142065,0,"['0my6Pg4I28dVcZLSpAkqhv', '25UNJbwGZSQKvz5cPLWlv3']",2020-07-31,0.547,0.638,8,-2.99,1,0.124,0.697,0.0,0.074,0.876,176.277,3,740933.0,"['corrido', 'norteno', 'nuevo regional mexicano', 'regional mexican']",Los Dos Carnales,80,norteno,1,0.36502196972025,0.701119595518987,199516.002354502,0.641200468981672,0.0179605977615105,0.153768890972309,-6.77489529921793,0.0741314504012017,127.193973600839,0.827185051053952,49.3653007978024,7
53PoPAD389bBE4ePYuT95g,El Envidioso,76,191995,0,['25UNJbwGZSQKvz5cPLWlv3'],2020-07-10,0.719,0.577,5,-5.326,1,0.0909,0.416,0.0,0.0972,0.861,78.77,4,740933.0,"['corrido', 'norteno', 'nuevo regional mexicano', 'regional mexican']",Los Dos Carnales,80,corrido,1,0.39155987536168,0.701318693799086,201449.324246986,0.634105510416185,0.0150560935424239,0.1501325843059,-6.37620582967425,0.0658776080240443,124.706442339256,0.819238872566536,53.7577611661249,7
53PoPAD389bBE4ePYuT95g,El Envidioso,76,191995,0,['25UNJbwGZSQKvz5cPLWlv3'],2020-07-10,0.719,0.577,5,-5.326,1,0.0909,0.416,0.0,0.0972,0.861,78.77,4,740933.0,"['corrido', 'norteno', 'nuevo regional mexicano', 'regional mexican']",Los Dos Carnales,80,norteno,1,0.36502196972025,0.701119595518987,199516.002354502,0.641200468981672,0.0179605977615105,0.153768890972309,-6.77489529921793,0.0741314504012017,127.193973600839,0.827185051053952,49.3653007978024,7
5r9CZJMoMmxio2AnJdxuDS,Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo,76,521088,0,"['6vTqEFbTtTRJsuIpzZgjxi', '2uSwBbWqsXgoMYQjynmwQ7', '5x2zeeLVXEDaMHRaRmH3FD']",2020-04-23,0.437,0.798,2,-3.928,1,0.0792,0.603,0.0,0.552,0.706,157.828,4,856031.0,"['pagode', 'pagode novo']",Grupo Menos É Mais,76,pagode,1,0.447125925925926,0.625161111111111,209411.305555556,0.601933580246914,0.00410490308641975,0.180424604938272,-9.81990320987654,0.0793281234567901,112.829878395062,0.756301234567901,49.0275308641975,7
